country,Write 3.0,Write 2.2,Write 2.1,Write 1.0,,,,,
Monaco,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Afghanistan,<N/A,N/A,N/A,N/A,,,,,
Argentina,<'7.5/10,'7.5/10,'8/10,'9/10,,,,,
Austria,<3,3,2,1.5,,,,,
Albania,<'8/10,'8/10,'9/10,'10/10,,,,,
Armenia,<'3.0/4.0,'3.0/4.0,'3.5/4.0,'4.0/4.0,,,,,
Azerbaijan,<0.71,71%,81%,91%,,,,,
Algeria,<'14/20,'14/20,'16/20,'18/20,,,,,
Australia,<'3.0/4.0,'3.0/4.0,'4.0/4.0,85%,,,,,
Bahrain,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Belarus,<'4/5,'4/5,'4.5/5,'5/5,,,,,
Bolivia,<0.7,70%,80%,90%,,,,,
Brazil,<'6/10,'6/10,'7/10,'8/10,,,,,
Bangladesh,<'3.5/4.0,'3.5/4.0,'4.0/4.0,-,,,,,
Belgium,<0.7,70%,75%,80%,,,,,
Bosnia and Herzegovina,<'4/5,'4/5,'4.5/5,'5/5,,,,,
Brunei,<2.2,2.2,2.1,-,,,,,
Barbados,<2.2,2.2,2.1,1,,,,,
Belize,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Botswana,<0.65,65%,70%,75%,,,,,
Bulgaria,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'6/6,,,,,
Cambodia,<'3.0/4.0,'3.0/4.0,3.5/4.0,-,,,,,
Caribbean,<2.2,2.2,2.1,1,,,,,
West Indies,<2.2,2.2,2.1,1,,,,,
Colombia,<'3.5/5.0,'3.5/5.0,'4.0/5.0,'4.5/5.0,,,,,
Croatia,<'4/5,'4/5,'4.5/5,'5/5,,,,,
Czech Republic,<dobre,dobre,velmi dobre,vyborne,,,,,
Cameroon,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Chile,<'5/7,'5/7,'5.5/7,'6/7,,,,,
Congo,<N/A,N/A,N/A,N/A,,,,,
Cuba,<'4/5,'4/5,'4.5/5,-,,,,,
Canada,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
China,<0.85,85%,90%,95%,,,,,
Costa Rica,<'7.5/10,'7.5/10,'8.5/10,'9.5/10,,,,,
Cyprus,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.85/4.0,,,,,
Denmark,<'9/13,'9/13,'10/13,'13/13,,,,,
Dominican Republic,<0.8,80%,85%,-,,,,,
Ecuador,<'3.2/4.0,'3.2/4.0,'3.5/4.0,'3.8/4.0,,,,,
Eritrea,<-,-,-,-,,,,,
Egypt,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Estonia,<'4/5,'4/5,'4.5/5,'5/5,,,,,
El Salvador,<'8/10,'8/10,'9/10,'10/10,,,,,
Ethiopia,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Fiji,<'3.5/5.0,'3.5/5.0,'4.0/5.0,'4.5/5.0,,,,,
Finland,<'3/5,'3/5,'4/5,'5/5,,,,,
France,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Gambia,<'3.3/4.3,'3.3/4.3,'3.7/4.3,'4.0/4.3,,,,,
Ghana,<'3.0/4.0,'3.0/4.0,'3.5/4.0,'3.8/4.0,,,,,
Guyana,<0.65,65%,75%,85%,,,,,
Georgia,<0.8,80%,85%,90%,,,,,
Greece,<'3.6/4.0,'3.6/4.0,'7.5/10,'8.5/10,,,,,
Germany,<3,3,2.5,1,,,,,
Guatemala,<0.8,80%,90%,95%,,,,,
Honduras,<0.8,80%,85%,90%,,,,,
Hong Kong,<2.4/4.3,2.4/4.3,3.0/4.3,3.6/4.3,,,,,
Hungary,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'5.0/5.0,,,,,
Iceland,<'6.5/10,'6.5/10,'7.5/10,'9/10,,,,,
Iran,<'14/20,'14/20,'16/20,'18/20,,,,,
Israel,<0.75,75%,80%,85%,,,,,
International Baccalaureate,<N/A,N/A,N/A,N/A,,,,,
India,<'6.5/10.0,'6.5/10.0,'7.5/10.0,'8.0/10.0,,,,,
Iraq,<0.7,70%,80%,90%,,,,,
Italy,<'3.3/4.0,'3.3/4.0,'3.6/4.0,'110/110,,,,,
Indonesia,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Ireland,<The award of any of the following: Bachelors with Second Class Honours Grade II Bachelors with Secon...,The award of any of the following: Bachelors with Second Class Honours Grade II Bachelors with Secon...,The award of any of the following: Bachelors with Second Class Honours Grade I Bachelors with Second...,1,,,,,
Ivory Coast,<'11/20,'11/20,'13/20,'16/20,,,,,
Jamaica,<2.2,2.2,2.1,1,,,,,
Japan,<'3.0/4.0,'3.0/4.0,'3.5/4.0,'3.7/4.0,,,,,
Jordan,<'3.0/4.0,'3.0/4.0,'3.5/4.0,'4.0/4.0,,,,,
Kazakhstan,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Kuwait,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Kenya,<2.2,2.2,2.1,1,,,,,
Kyrgyzstan,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Kosovo,<'7/10,'7/10,'8/10,'9/10,,,,,
Latvia,<'7/10,'7/10,'8/10,'9/10,,,,,
Liberia,<0.8,80%,85%,90%,,,,,
Lithuania,<'7/10,'7/10,'8/10,'10/10,,,,,
Lebanon,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Libya,<0.8,80%,90%,95%,,,,,
Luxembourg,<'14/20,'14/20,'16/20,'18/20,,,,,
Lesotho,<0.7,70%,75%,80%,,,,,
Lichtenstein,<'4.5/6.0,'4.5/6.0,'5.0/6.0,'5.5/6.0,,,,,
Macau,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Malawi,<0.6,60%,70%,80%,,,,,
Mauritius,<2.1,2.1,2.1,1,,,,,
Morocco,<'14/20,'14/20,'16/20,'18/20,,,,,
Macedonia,<'7/10,'7/10,'8/10,'9/10,,,,,
Malaysia,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Mexico,<'8/10,'8/10,'8.5/10,'9/10,,,,,
Mongolia,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Mozambique,<'16/20,'16/20,'18/20,'18/20,,,,,
Madagascar,<'13/20,'13/20,'15/20,'17/20,,,,,
Malta,<0.6,60%,2.1,1,,,,,
Moldova,<'8/10,'8/10,'9/10,'10/10,,,,,
Montenegro,<'7/10,'7/10,'8/10,'9/10,,,,,
Myanmar,<0.7,70%,80%,90%,,,,,
Namibia,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
New Zealand,<B,B,B,1,,,,,
Norway,<C,C,B,C,,,,,
Nepal,<0.65,65%,75%,85%,,,,,
Nicaragua,<0.9,90%,95%,N/A,,,,,
Netherlands,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Nigeria,<0.55,55%,63%,75%,,,,,
Oman,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Pakistan,<'3.0/4.0,'3.0/4.0,'3.5/4.0,'4.0/4.0,,,,,
Papua New Guinea,<Class II Division B,Class II Division B,Class II Division A,First Class,,,,,
Philippines,<'4/4,'4/4,'3.5/4.0,'4.0/4.0,,,,,
Palestine,<0.8,80%,85%,90%,,,,,
Paraguay,<'4/5,'4/5,'4.5/5,'5/5,,,,,
Poland,<'4/5,'4/5,'4.5/5,'5/5,,,,,
Panama,<0.81,81%,91%,95%,,,,,
Peru,<'15/20.,'15/20.,'17/20.,'19/20.,,,,,
Portugal,<'14/20,'14/20,'16/20,'18/20,,,,,
Qatar,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Romania,<'7/10,'7/10,'8/10,'9.5/10,,,,,
Russia,<'4/5,'4/5,'4.5/5,'5/5,,,,,
Rwanda,<2.2,2.2,2.1,1,,,,,
Saudi Arabia,<'3.5/5.0,'3.5/5.0,'4.5/5.0,'4.75/5.0,,,,,
Serbia,<'7/10,'7/10,'8/10,'9/10,,,,,
Slovakia,<2,2,1.5,1,,,,,
South Africa,<0.6,60%,N/A,N/A,,,,,
Sri Lanka,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Sweden,<C,C,B,A,,,,,
Scotland,<N/A,N/A,N/A,N/A,,,,,
Sierra Leone,<0.5,50%,60%,70%,,,,,
Slovenia,<'7/10,'7/10,'8/10,'9/10,,,,,
South Korea,<'3.0/4.5,3.0/4.5,'3.5/4.5,'4.0/4.5,,,,,
Sudan,<0.6,60%,70%,80%,,,,,
Switzerland,<'4.5/6.0,'4.5/6.0,'5/6,'5.5/6,,,,,
Senegal,<'14/20,'14/20,'16/20,'18/20,,,,,
Singapore,<0.5,50%,60%,70%,,,,,
Somalia,<-,-,-,-,,,,,
Spain,<'7.5/10,7.5/10,8/10,8.5/10,,,,,
Swaziland,<0.6,60%,70%,80%,,,,,
Syria,<0.7,70%,0%,0%,,,,,
Taiwan,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Thailand,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Turkey,<'2.7/4.0,'2.7/4.0,'3.0/4.0,'3.3/4.0,,,,,
Tajikistan,<'4/5,'4/5,'4.5/5,'5/5,,,,,
Trinidad and Tobago,<2.2,2.2,2.1,1,,,,,
Turkmenistan,<'4.0/5.0,'4.0/5.0,'4.5/5.0,'5.0/5.0,,,,,
Tanzania,<2.2,2.2,2.1,1,,,,,
Tunisia,<'14/20,'14/20,'16/20,'18/20,,,,,
Uganda,<'3.0/5.0,'3.0/5.0,'4.0/5.0,'4.5/5.0,,,,,
United States of America,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Ukraine,<0.8,80%,85%,90%,,,,,
Uruguay,<'9/12,'9/12,'10/12,'11/12,,,,,
United Arab Emirates,<'3.0/4.0,'3.0/4.0,'3.3/4.0,'3.7/4.0,,,,,
Uzbekistan,<0.71,71%,86%,95%,,,,,
Venezuela,<0.71,71%,81%,91%,,,,,
Vietnam,<'7.0/10,'7.0/10,'8.0/10,90%,,,,,
Zambia,<Credit,Credit,Merit,Distinction,,,,,
Zimbabwe,<2.2,2.2,2.1,1,,,,,
