SourceName,TargetName,MappingType
Xi'an Jiaotong University,Xi'an Jiaotong University,Abbreviation
Xian Jiaotong University,Xi'an Jiaotong University,Abbreviation
Xi An Jiaotong University,Xi'an Jiaotong University,Abbreviation
Xian Jiao Tong University,Xi'an Jiaotong University,Abbreviation
Xi'an Jiao Tong University,Xi'an Jiaotong University,Abbreviation
Xi An Jiao Tong University,Xi'an Jiaotong University,Abbreviation
XJTU,Xi'an Jiaotong University,Abbreviation
The University of Nottingham Ningbo,University of Nottingham,JointDegree
University of Nottingham Ningbo China,University of Nottingham,JointDegree
XJTU-Liverpool University,University of Liverpool,JointDegree
Xi'an Jiaotong - Liverpool University,University of Liverpool,JointDegree
Xi'an Jiaotong-Liverpool University,University of Liverpool,JointDegree
Xian Jiaotong-Liverpool University,University of Liverpool,JointDegree
Xi An Jiaotong-Liverpool University,University of Liverpool,JointDegree
HKU,University of Hong Kong,Abbreviation
UCLA,"University of California, Los Angeles",Abbreviation
University College London,UCL,Abbreviation
HKUST,The Hong Kong University of Science and Technology,Abbreviation
Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology,Abbreviation
HKPU,The Hong Kong Polytechnic University,Abbreviation
PolyU,The Hong Kong Polytechnic University,Abbreviation
Hong Kong Polytechnic University,The Hong Kong Polytechnic University,Abbreviation
EdUHK,The Education University of Hong Kong,Abbreviation
Education University of Hong Kong,The Education University of Hong Kong,Abbreviation
Chinese University of Hong Kong (CUHK),The Chinese University of Hong Kong,Alt Spelling
CUHK,The Chinese University of Hong Kong,Abbreviation
Chinese University of Hong Kong,The Chinese University of Hong Kong,Abbreviation
Southwestern University of Finance and Economics,NOT_RANKED,NotRanked
Shandong University of Finance and Economics,NOT_RANKED,NotRanked
Central University of Finance and Economics,NOT_RANKED,NotRanked
Juniata College,NOT_RANKED,NotRanked
Xi'an University of Posts and Telecommunications,NOT_RANKED,NotRanked
Zhongnan (South Central) University of Economics and Law,NOT_RANKED,NotRanked
Narsee Monjee Institute of Management Studies (also known as SVKM's NMIMS University),NOT_RANKED,NotRanked
NYU Shanghai,New York University,JointDegree
MIT,Massachusetts Institute of Technology,Abbreviation
LSHTM,London School of Hygiene and Tropical Medicine,Abbreviation
LSE,London School of Economics and Political Science,Abbreviation
London School of Economics,London School of Economics and Political Science,Abbreviation
KCL,King's College London,Abbreviation
HKBU,Hong Kong Baptist University,Abbreviation
Beijing Normal- Hong Kong Baptist University,Hong Kong Baptist University,Abbreviation
BeijingÂ Normal-Hong Kong Baptist University,Hong Kong Baptist University,Abbreviation
Duke Kunshan University,Duke University,JointDegree
CityUHK,City University of Hong Kong,Abbreviation
CityU,City University of Hong Kong,Abbreviation
Caltech,California Institute of Technology,Abbreviation
"City, University of London","City St George's, University of London",Alt Spelling
City University of London,"City St George's, University of London",Alt Spelling
Cass Business School,"City St George's, University of London",Alt Spelling
Bayes Business School,"City St George's, University of London",Alt Spelling
"St George’s, University of London","City St George's, University of London",Alt Spelling
Université de Nantes,Nantes Université,Alt Spelling
Universite de Nantes,Nantes Université,Alt Spelling
Université de Nantes France,Nantes Université,Alt Spelling
Universite de Nantes France,Nantes Université,Alt Spelling
Université à Nantes,Nantes Université,Alt Spelling
Université Nantes,Nantes Université,Alt Spelling
Universite Nantes,Nantes Université,Alt Spelling
Nantes Université,Nantes Université,Alt Spelling
Nantes Universite,Nantes Université,Alt Spelling
Nantes Université France,Nantes Université,Alt Spelling
Nantes University,Nantes Université,Alt Spelling
University of Nantes,Nantes Université,Alt Spelling
University of Nantes France,Nantes Université,Alt Spelling
EÃ¶tvÃ¶s LorÃ¡nd University,Eötvös Loránd University,Alt Spelling
Eotvos Lorand University,Eötvös Loránd University,Alt Spelling
Lorand Eotvos University,Eötvös Loránd University,Alt Spelling
ELTE University,Eötvös Loránd University,Alt Spelling
ELTE Budapest,Eötvös Loránd University,Alt Spelling
"Visvesvaraya National Institute of Technology, Nagpur","Visvesvaraya National Institute of Technology, Nagpur",Alt Spelling
University College Dublin and Beijing University of Technology,University College Dublin,JointDegree
Guangdong University of Foreign Studies and University of Queensland,The University of Queensland,JointDegree
University of California Santa Barbara,"University of California, Santa Barbara",Alt Spelling
University of Lancaster,Lancaster University,Alt Spelling
University of Durham,Durham University,Alt Spelling
University of Durham,National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,Alt Spelling
Universidad de Chile,University of Chile,Alt Spelling
